school_number,school_name,instruction_type,charter_type,school_street_address,school_city,school_state,school_zip,school_site_street_address,school_site_city,school_site_state,school_site_zip,school_phone,school_fax,school_email_address,school_web_page_address,school_principal,grade_range,enrollment_as_of_oct_2012,school_status,school_status_date,update_date
'013901102,FADDEN-MCKEOWN-CHAMBLISS EL,REGULAR INSTRUCTIONAL,,100 T J PFEIL,BEEVILLE,TX,78102-6998,100 T J PFEIL,BEEVILLE,TX,78102-6998,(361) 362-6050,(361) 362-6054,mvillarreal1@beevilleisd.net,beevilleisd.net,MARTINA VILLARREAL   ,'01 02,403,Active, ,7/24/13 5:34
'031905106,DAVID G SANCHEZ EL,REGULAR INSTRUCTIONAL,,1601 S MAIN ST,LA FERIA,TX,78559,1601 S MAIN ST,LA FERIA,TX,78559,(956) 797-8550,(956) 797-8530,umberto.flores@laferiaisd.org,www.laferiaisd.org,MRS MARISA MARTINEZ CHAPA   ,'01 02,545,Active,8/23/07,7/24/13 5:34
'036902102,BARBERS HILL PRI,REGULAR INSTRUCTIONAL,,P O BOX 1108,MONT BELVIEU,TX,77580-1108,9600 EAGLE DR,BAYTOWN,TX,77523-1108,(281) 576-2221 ext:1223,(281) 576-3415,sotto@bhisd.net,www.bhisd.net,MS SARAH OTTO   ,'01 02,692,Active,10/11/00,7/24/13 5:34
'072903102,CHAMBERLIN EL,REGULAR INSTRUCTIONAL,,2655 W OVERHILL DR,STEPHENVILLE,TX,76401-2963,1601 W FREY,STEPHENVILLE,TX,76401-2963,(254) 968-2311,(254) 968-5399,barry.cavitt@sville.us,,MR BARRY CAVITT   ,'01 02,597,Active, ,7/24/13 5:34
'092904101,PINE TREE EL,REGULAR INSTRUCTIONAL,,P O BOX 5878,LONGVIEW,TX,75608-5878,815 BIRCH ST,LONGVIEW,TX,75604-5878,(903) 295-5120,(903) 295-5126,mtidwell@ptisd.org,,MRS MELINDA K TIDWELL   ,'01 02,741,Active, ,7/24/13 5:34
'101906103,BARRETT PRI,REGULAR INSTRUCTIONAL,,P O BOX 2009,CROSBY,TX,77532-8009,815 F M 1942,CROSBY,TX,77532-8009,(281) 328-9320,(281) 328-9374,crosbyschools@crosbyisd.org,,KAREN WALTHALL   ,'01 02,652,Active, ,7/24/13 5:35
'117901106,GATEWAY EL,REGULAR INSTRUCTIONAL,,401 TRISTRAM,BORGER,TX,79007-2363,401 TRISTRAM,BORGER,TX,79007-2363,(806) 273-1044,(806) 273-1071,ken.rosser@borgerisd.net,www.borgerisd.net,MR KENNETH ROSSER   ,'01 02,415,Active, ,7/24/13 5:35
'129903103,MONDAY PRI,REGULAR INSTRUCTIONAL,,905 S MADISON,KAUFMAN,TX,75142-2298,905 S MADISON,KAUFMAN,TX,75142-2298,(972) 932-3513,(972) 932-2758,jjohnson@kaufmanisd.net,kaufmanisd.net,MS JULIE JOHNSON   ,'01 02,611,Active, ,7/24/13 5:35
'129906101,KENNEDY EL,REGULAR INSTRUCTIONAL,,1400 S ROCKWALL ST,TERRELL,TX,75160-4819,1400 S ROCKWALL ST,TERRELL,TX,75160-4819,(972) 563-1443,(972) 563-4783,dwight.malone@terrellisd.org,terrellisd.com/School-JFKennedy.htm,MR DWIGHT MALONE   ,'01 02,649,Active, ,7/24/13 5:35
'178914103,FLOUR BLUFF PRI,REGULAR INSTRUCTIONAL,,2505 WALDRON RD,CORPUS CHRISTI,TX,78418-4798,537 HUSTLIN HORNET,CORPUS CHRISTI,TX,78418-4798,(361) 694-9600,(361) 694-9806,SBUTTLER@FLOURBLUFFSCHOOLS.NET,,MS SYLVIA BUTTLER   ,'01 02,768,Active, ,7/24/13 5:35
